pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,131,trial4,cheek,diff_bin9,0.4784410790582242,happy
pp401,adult,131,trial5,brow,diff_bin1,-0.19379043444802774,happy
pp401,adult,131,trial5,brow,diff_bin10,-0.1695054924816451,happy
pp401,adult,131,trial5,brow,diff_bin2,-0.37875578052823716,happy
pp401,adult,131,trial5,brow,diff_bin3,0.4115680970379823,happy
pp401,adult,131,trial5,brow,diff_bin4,0.12686861976483438,happy
pp401,adult,131,trial5,brow,diff_bin5,0.17363095547768545,happy
pp401,adult,131,trial5,brow,diff_bin6,0.16425297000730496,happy
pp401,adult,131,trial5,brow,diff_bin7,-0.4207972255961349,happy
pp401,adult,131,trial5,brow,diff_bin8,-0.14847413731110848,happy
pp401,adult,131,trial5,brow,diff_bin9,-0.7546832797241374,happy
pp401,adult,131,trial5,cheek,diff_bin1,0.05991739622307632,happy
pp401,adult,131,trial5,cheek,diff_bin10,-0.05096329763761437,happy
pp401,adult,131,trial5,cheek,diff_bin2,-0.05619098992553373,happy
pp401,adult,131,trial5,cheek,diff_bin3,-0.02064268236768174,happy
pp401,adult,131,trial5,cheek,diff_bin4,-0.047759660568863715,happy
pp401,adult,131,trial5,cheek,diff_bin5,0.0061659960319048746,happy
pp401,adult,131,trial5,cheek,diff_bin6,-0.054367999794361854,happy
pp401,adult,131,trial5,cheek,diff_bin7,0.04548092290489883,happy
pp401,adult,131,trial5,cheek,diff_bin8,-0.12078650052933793,happy
pp401,adult,131,trial5,cheek,diff_bin9,-0.029382311525947058,happy
pp401,adult,131,trial6,brow,diff_bin1,NA,happy
pp401,adult,131,trial6,brow,diff_bin10,NA,happy
pp401,adult,131,trial6,brow,diff_bin2,NA,happy
pp401,adult,131,trial6,brow,diff_bin3,NA,happy
pp401,adult,131,trial6,brow,diff_bin4,NA,happy
pp401,adult,131,trial6,brow,diff_bin5,NA,happy
pp401,adult,131,trial6,brow,diff_bin6,NA,happy
pp401,adult,131,trial6,brow,diff_bin7,NA,happy
pp401,adult,131,trial6,brow,diff_bin8,NA,happy
pp401,adult,131,trial6,brow,diff_bin9,NA,happy
pp401,adult,131,trial6,cheek,diff_bin1,-1.742564095973953e-4,happy
pp401,adult,131,trial6,cheek,diff_bin10,0.3030855136465275,happy
pp401,adult,131,trial6,cheek,diff_bin2,-0.11634966425420631,happy
pp401,adult,131,trial6,cheek,diff_bin3,-0.08980907263861546,happy
pp401,adult,131,trial6,cheek,diff_bin4,0.0321167967227049,happy
pp401,adult,131,trial6,cheek,diff_bin5,0.19573016099538249,happy
pp401,adult,131,trial6,cheek,diff_bin6,NA,happy
pp401,adult,131,trial6,cheek,diff_bin7,-0.01570988554215788,happy
pp401,adult,131,trial6,cheek,diff_bin8,0.4308958879165572,happy
pp401,adult,131,trial6,cheek,diff_bin9,0.21862477234862965,happy
pp401,adult,131,trial7,brow,diff_bin1,0.2916532216015259,happy
pp401,adult,131,trial7,brow,diff_bin10,-0.010738962953610584,happy
pp401,adult,131,trial7,brow,diff_bin2,-0.1745666274974061,happy
pp401,adult,131,trial7,brow,diff_bin3,NA,happy
pp401,adult,131,trial7,brow,diff_bin4,-0.1521317642972885,happy
pp401,adult,131,trial7,brow,diff_bin5,-0.06728332432717658,happy
pp401,adult,131,trial7,brow,diff_bin6,-0.1977883058050156,happy
pp401,adult,131,trial7,brow,diff_bin7,-0.376374069932585,happy
pp401,adult,131,trial7,brow,diff_bin8,0.12601800883781583,happy
pp401,adult,131,trial7,brow,diff_bin9,-0.4700263329973404,happy
pp401,adult,131,trial7,cheek,diff_bin1,NA,happy
pp401,adult,131,trial7,cheek,diff_bin10,NA,happy
pp401,adult,131,trial7,cheek,diff_bin2,NA,happy
pp401,adult,131,trial7,cheek,diff_bin3,NA,happy
pp401,adult,131,trial7,cheek,diff_bin4,NA,happy
pp401,adult,131,trial7,cheek,diff_bin5,NA,happy
pp401,adult,131,trial7,cheek,diff_bin6,NA,happy
pp401,adult,131,trial7,cheek,diff_bin7,NA,happy
pp401,adult,131,trial7,cheek,diff_bin8,NA,happy
pp401,adult,131,trial7,cheek,diff_bin9,NA,happy
pp401,adult,131,trial8,brow,diff_bin1,-0.1773736435565676,happy
pp401,adult,131,trial8,brow,diff_bin10,-0.16308337998265404,happy
pp401,adult,131,trial8,brow,diff_bin2,0.6599252224542581,happy
pp401,adult,131,trial8,brow,diff_bin3,0.6215839349188914,happy
pp401,adult,131,trial8,brow,diff_bin4,0.548792904839269,happy
pp401,adult,131,trial8,brow,diff_bin5,0.27629969436883883,happy
pp401,adult,131,trial8,brow,diff_bin6,0.3045825076922094,happy
pp401,adult,131,trial8,brow,diff_bin7,0.3767143143033924,happy
pp401,adult,131,trial8,brow,diff_bin8,0.4269216242706694,happy
pp401,adult,131,trial8,brow,diff_bin9,0.07011160565951384,happy
pp401,adult,131,trial8,cheek,diff_bin1,-0.03584320302024746,happy
pp401,adult,131,trial8,cheek,diff_bin10,0.08429988922750037,happy
pp401,adult,131,trial8,cheek,diff_bin2,0.11854797588297245,happy
pp401,adult,131,trial8,cheek,diff_bin3,0.3145060106447515,happy
pp401,adult,131,trial8,cheek,diff_bin4,0.14484728939296704,happy
pp401,adult,131,trial8,cheek,diff_bin5,NA,happy
pp401,adult,131,trial8,cheek,diff_bin6,-0.020937577830077214,happy
pp401,adult,131,trial8,cheek,diff_bin7,-0.016313080806148517,happy
pp401,adult,131,trial8,cheek,diff_bin8,-0.035347242469855045,happy
pp401,adult,131,trial8,cheek,diff_bin9,-0.008364307660671033,happy
pp401,adult,232,trial1,brow,diff_bin1,0.36199874526596976,angry
pp401,adult,232,trial1,brow,diff_bin10,0.10381706364262858,angry
