pp_no,emotion,trial,muscle,bin,zdiff
pp401,131,trial1,cheek,diff_bin3,-0.06613700961178043
pp401,131,trial1,cheek,diff_bin4,-0.009570698188652416
pp401,131,trial1,cheek,diff_bin5,-0.04834945149365466
pp401,131,trial1,cheek,diff_bin6,-0.05991739622307635
pp401,131,trial2,brow,diff_bin1,0.16552888639783264
pp401,131,trial2,brow,diff_bin2,0.0361722296714688
pp401,131,trial2,brow,diff_bin3,0.49252499201698424
pp401,131,trial2,brow,diff_bin4,0.40163721446503947
pp401,131,trial2,brow,diff_bin5,0.42977117087618166
pp401,131,trial2,brow,diff_bin6,0.09407756852826449
pp401,131,trial2,cheek,diff_bin1,-0.06633807469977726
pp401,131,trial2,cheek,diff_bin2,-0.06566785773978762
pp401,131,trial2,cheek,diff_bin3,-0.08220881231233268
pp401,131,trial2,cheek,diff_bin4,-0.04936818127283893
pp401,131,trial2,cheek,diff_bin5,0.08995652036981322
pp401,131,trial2,cheek,diff_bin6,0.031580623154713106
pp401,131,trial3,brow,diff_bin1,-0.05607652536370572
pp401,131,trial3,brow,diff_bin2,0.13830933673323542
pp401,131,trial3,brow,diff_bin3,1.0154167941285346
pp401,131,trial3,brow,diff_bin4,0.3148748999091353
pp401,131,trial3,brow,diff_bin5,0.5588513790512646
pp401,131,trial3,brow,diff_bin6,0.5763526988746737
pp401,131,trial3,cheek,diff_bin1,NA
pp401,131,trial3,cheek,diff_bin2,NA
pp401,131,trial3,cheek,diff_bin3,NA
pp401,131,trial3,cheek,diff_bin4,NA
pp401,131,trial3,cheek,diff_bin5,NA
pp401,131,trial3,cheek,diff_bin6,NA
pp401,131,trial4,brow,diff_bin1,0.523657351945867
pp401,131,trial4,brow,diff_bin2,0.02273257702457379
pp401,131,trial4,brow,diff_bin3,0.2486335739675566
pp401,131,trial4,brow,diff_bin4,0.26251979735113606
pp401,131,trial4,brow,diff_bin5,-0.39142988334081563
pp401,131,trial4,brow,diff_bin6,-0.1787558863129731
pp401,131,trial4,cheek,diff_bin1,-0.029663802649142756
pp401,131,trial4,cheek,diff_bin2,0.07135129756050007
pp401,131,trial4,cheek,diff_bin3,0.07868347110278695
pp401,131,trial4,cheek,diff_bin4,0.045011771032906045
pp401,131,trial4,cheek,diff_bin5,-0.04934137259443938
pp401,131,trial4,cheek,diff_bin6,-0.006018548300707249
pp401,131,trial5,brow,diff_bin1,-0.19379043444802774
pp401,131,trial5,brow,diff_bin2,-0.37875578052823716
pp401,131,trial5,brow,diff_bin3,0.4115680970379823
pp401,131,trial5,brow,diff_bin4,0.12686861976483438
pp401,131,trial5,brow,diff_bin5,0.17363095547768545
pp401,131,trial5,brow,diff_bin6,0.16425297000730496
pp401,131,trial5,cheek,diff_bin1,0.05991739622307632
pp401,131,trial5,cheek,diff_bin2,-0.05619098992553373
pp401,131,trial5,cheek,diff_bin3,-0.02064268236768174
pp401,131,trial5,cheek,diff_bin4,-0.047759660568863715
pp401,131,trial5,cheek,diff_bin5,0.0061659960319048746
pp401,131,trial5,cheek,diff_bin6,-0.054367999794361854
pp401,131,trial6,brow,diff_bin1,NA
pp401,131,trial6,brow,diff_bin2,NA
pp401,131,trial6,brow,diff_bin3,NA
pp401,131,trial6,brow,diff_bin4,NA
pp401,131,trial6,brow,diff_bin5,NA
pp401,131,trial6,brow,diff_bin6,NA
pp401,131,trial6,cheek,diff_bin1,-1.742564095973953e-4
pp401,131,trial6,cheek,diff_bin2,-0.11634966425420631
pp401,131,trial6,cheek,diff_bin3,-0.08980907263861546
pp401,131,trial6,cheek,diff_bin4,0.0321167967227049
pp401,131,trial6,cheek,diff_bin5,0.19573016099538249
pp401,131,trial6,cheek,diff_bin6,1.3576182828334706
pp401,131,trial7,brow,diff_bin1,0.2916532216015259
pp401,131,trial7,brow,diff_bin2,-0.1745666274974061
pp401,131,trial7,brow,diff_bin3,0.6859326515478538
pp401,131,trial7,brow,diff_bin4,-0.1521317642972885
pp401,131,trial7,brow,diff_bin5,-0.06728332432717658
pp401,131,trial7,brow,diff_bin6,-0.1977883058050156
pp401,131,trial7,cheek,diff_bin1,NA
pp401,131,trial7,cheek,diff_bin2,NA
pp401,131,trial7,cheek,diff_bin3,NA
pp401,131,trial7,cheek,diff_bin4,NA
pp401,131,trial7,cheek,diff_bin5,NA
pp401,131,trial7,cheek,diff_bin6,NA
pp401,131,trial8,brow,diff_bin1,-0.1773736435565676
pp401,131,trial8,brow,diff_bin2,0.6599252224542581
pp401,131,trial8,brow,diff_bin3,0.6215839349188914
pp401,131,trial8,brow,diff_bin4,0.548792904839269
pp401,131,trial8,brow,diff_bin5,0.27629969436883883
pp401,131,trial8,brow,diff_bin6,0.3045825076922094
pp401,131,trial8,cheek,diff_bin1,-0.03584320302024746
pp401,131,trial8,cheek,diff_bin2,0.11854797588297245
pp401,131,trial8,cheek,diff_bin3,0.3145060106447515
pp401,131,trial8,cheek,diff_bin4,0.14484728939296704
pp401,131,trial8,cheek,diff_bin5,0.5590949880233808
pp401,131,trial8,cheek,diff_bin6,-0.020937577830077214
